ID,Region,Date,type,Lwr,value,Upr,drisk
gbr_4,gbr,2023-07-23,nowcast,0.0,1.0,1.0,0
gbr_4,gbr,2023-07-30,nowcast,0.0,0.0,1.0,0
gbr_4,gbr,2023-08-06,nowcast,0.0,0.0,1.0,0
gbr_4,gbr,2023-08-13,nowcast,0.0,0.0,1.0,0
gbr_4,gbr,2023-08-20,nowcast,0.0,0.0,1.0,0
gbr_4,gbr,2023-08-27,nowcast,0.0,0.0,1.0,0
gbr_4,gbr,2023-09-03,nowcast,0.0,0.0,1.0,0
gbr_4,gbr,2023-09-10,forecast,0.0,0.0,1.0,0
gbr_4,gbr,2023-09-17,forecast,0.0,0.0,1.0,0
gbr_4,gbr,2023-09-24,forecast,0.0,0.0,1.0,0
gbr_4,gbr,2023-10-01,forecast,0.0,0.0,1.0,0
gbr_4,gbr,2023-10-08,forecast,0.0,0.0,1.0,0
gbr_4,gbr,2023-10-15,forecast,0.0,0.0,1.0,0
gbr_4,gbr,2023-10-22,forecast,0.0,0.0,1.0,0
gbr_4,gbr,2023-10-29,forecast,0.0,0.0,1.0,0
gbr_4,gbr,2023-11-05,forecast,0.0,0.0,1.0,0
gbr_4,gbr,2023-11-12,forecast,0.0,0.0,1.0,0
gbr_4,gbr,2023-11-19,forecast,0.0,0.0,1.0,0
gbr_4,gbr,2023-11-26,forecast,0.0,0.0,1.0,0
